id,title,description,condition,link,image_link,price,availability,brand
1,Standard Wheelchair,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/standard-wheelchair.jpg,13000 KES,in_stock,EquinoxHealthSupplies
2,Electric Wheelchair,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/electric-wheelchair.jpg,125000 KES,in_stock,EquinoxHealthSupplies
3,Reclining Electric Wheelchair,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/reclining-wheelchair.jpg,130000 KES,in_stock,EquinoxHealthSupplies
4,Standard Commode Wheelchair,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/commode-wheelchair.jpg,17500 KES,in_stock,EquinoxHealthSupplies
5,Patient Transfer Chair,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/transfer-chair.jpg,50000 KES,in_stock,EquinoxHealthSupplies
6,Quad Cane (4 Legs),"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/quad-cane.jpg,2500 KES,in_stock,EquinoxHealthSupplies
7,Walking Frame without Wheels,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/walking-frame.jpg,4500 KES,in_stock,EquinoxHealthSupplies
8,Elbow Crutches (Pair),"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/elbow-crutches.jpg,2800 KES,in_stock,EquinoxHealthSupplies
9,Axillary Crutches (Pair),"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/axillary-crutches.jpg,2800 KES,in_stock,EquinoxHealthSupplies
10,Tripod Walking Stick,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/tripod-walking-stick.jpg,2300 KES,in_stock,EquinoxHealthSupplies
11,Extra Wide Heavy Duty Wheelchair,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/extra-wide-wheelchair.jpg,23500 KES,in_stock,EquinoxHealthSupplies
12,Walker Boots Short,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/walker-boots-short.jpg,9500 KES,in_stock,EquinoxHealthSupplies
13,Walker Boots Long,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/walker-boots-long.jpg,10500 KES,in_stock,EquinoxHealthSupplies
14,Toilet Raiser,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/toilet-raiser.jpg,7500 KES,in_stock,EquinoxHealthSupplies
15,Shower Chair,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/shower-chair.jpg,9500 KES,in_stock,EquinoxHealthSupplies
16,Commode Seat,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/commode-seat.jpg,5500 KES,in_stock,EquinoxHealthSupplies
17,Commode Chair with Wheels,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/commode-wheels.jpg,8000 KES,in_stock,EquinoxHealthSupplies
18,Commode Chair without Wheels,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/commode-chair.jpg,7500 KES,in_stock,EquinoxHealthSupplies
19,Drip Stand,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/drip-stand.jpg,3500 KES,in_stock,EquinoxHealthSupplies
20,Omron Blood Pressure Monitor,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/omron-bp.jpg,5000 KES,in_stock,EquinoxHealthSupplies
21,Jumper Blood Pressure Monitor,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/jumper-bp.jpg,3500 KES,in_stock,EquinoxHealthSupplies
22,Glucose Meter Kit (Full Kit),"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/glucose-meter.jpg,3000 KES,in_stock,EquinoxHealthSupplies
23,Pulse Oximeter (Finger Tip),"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/oximeter.jpg,2200 KES,in_stock,EquinoxHealthSupplies
24,Hand Held Pulse Oximeter,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/handheld-oximeter.jpg,15000 KES,in_stock,EquinoxHealthSupplies
25,Infrared Thermometer,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/infrared-thermometer.jpg,1800 KES,in_stock,EquinoxHealthSupplies
26,Thermogun,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/thermogun.jpg,1600 KES,in_stock,EquinoxHealthSupplies
27,Nebulizer Machine,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/nebulizer.jpg,5000 KES,in_stock,EquinoxHealthSupplies
28,Portable Mesh Nebulizer,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/mesh-nebulizer.jpg,2500 KES,in_stock,EquinoxHealthSupplies
29,Oxygen Concentrator (5L),"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/oxygen-concentrator.jpg,60000 KES,in_stock,EquinoxHealthSupplies
30,Portable Oxygen Concentrator,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/portable-oxygen.jpg,70000 KES,in_stock,EquinoxHealthSupplies
31,Suction Machine,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/suction-machine.jpg,20000 KES,in_stock,EquinoxHealthSupplies
32,Fetal Doppler,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/fetal-doppler.jpg,4000 KES,in_stock,EquinoxHealthSupplies
33,Rechargeable Fetal Doppler,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/rechargeable-fetal-doppler.jpg,7500 KES,in_stock,EquinoxHealthSupplies
34,Alcohol Breath Tester,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/alcohol-tester.jpg,3500 KES,in_stock,EquinoxHealthSupplies
35,DP10 Mindray Ultrasound Machine,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/ultrasound.jpg,360000 KES,in_stock,EquinoxHealthSupplies
36,Diagnostic Set,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/diagnostic-set.jpg,7000 KES,in_stock,EquinoxHealthSupplies
37,Hearing Aid,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/hearing-aid.jpg,3000 KES,in_stock,EquinoxHealthSupplies
38,Rechargeable Hearing Aid,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/rechargeable-hearing-aid.jpg,4500 KES,in_stock,EquinoxHealthSupplies
39,Yuwell BP Machine,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/yuwell-bp.jpg,4000 KES,in_stock,EquinoxHealthSupplies
40,Omron M1 Blood Pressure Monitor,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/omron-m1.jpg,5000 KES,in_stock,EquinoxHealthSupplies
41,Littmann Classic III Stethoscope,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/littmann-stethoscope.jpg,4500 KES,in_stock,EquinoxHealthSupplies
42,Infrared Light with Stand,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/infrared-light.jpg,20000 KES,in_stock,EquinoxHealthSupplies
43,Pentorch (Penlight Torch),"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/pentorch.jpg,750 KES,in_stock,EquinoxHealthSupplies
44,Vein Finder,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/vein-finder.jpg,7500 KES,in_stock,EquinoxHealthSupplies
45,On Call Machine with Strips,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/on-call-machine.jpg,2600 KES,in_stock,EquinoxHealthSupplies
46,Haematology Machine,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/haematology-machine.jpg,370000 KES,in_stock,EquinoxHealthSupplies
47,Centrifuge,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/centrifuge.jpg,9500 KES,in_stock,EquinoxHealthSupplies
48,Round Centrifuge,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/round-centrifuge.jpg,8500 KES,in_stock,EquinoxHealthSupplies
49,Microscope,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/microscope.jpg,25000 KES,in_stock,EquinoxHealthSupplies
50,Laboratory Oven,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/laboratory-oven.jpg,42000 KES,in_stock,EquinoxHealthSupplies
51,Water Distiller,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/water-distiller.jpg,38000 KES,in_stock,EquinoxHealthSupplies
52,Purple Tops (100s),"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/purple-tops.jpg,900 KES,in_stock,EquinoxHealthSupplies
53,Hygrometer,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/hygrometer.jpg,1500 KES,in_stock,EquinoxHealthSupplies
