id,title,description,condition,link,image_link,price,availability,brand
54,Top Side Regulator,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/top-side-regulator.jpg,4000 KES,in_stock,EquinoxHealthSupplies
55,Wall Flowmeter,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/wall-flowmeter.jpg,4500 KES,in_stock,EquinoxHealthSupplies
56,Vital Sign Monitor,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/vital-sign-monitor.jpg,40000 KES,in_stock,EquinoxHealthSupplies
57,Defibrillator,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/defibrillator.jpg,105000 KES,in_stock,EquinoxHealthSupplies
58,Patient Monitor (5 Parameters),"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/patient-monitor.jpg,60000 KES,in_stock,EquinoxHealthSupplies
59,Thermal Roll,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/thermal-roll.jpg,1800 KES,in_stock,EquinoxHealthSupplies
60,1200cc Spirometer,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/spirometer-1200cc.jpg,1500 KES,in_stock,EquinoxHealthSupplies
61,5000cc Spirometer,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/spirometer-5000cc.jpg,2400 KES,in_stock,EquinoxHealthSupplies
62,Autoclave Power Cable,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/autoclave-cable.jpg,2500 KES,in_stock,EquinoxHealthSupplies
63,Lumbar Corset (Back Support),"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/lumbar-corset.jpg,3000 KES,in_stock,EquinoxHealthSupplies
64,Philadelphia Cervical Collar,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/cervical-collar.jpg,2600 KES,in_stock,EquinoxHealthSupplies
65,Knee Brace (Hinged),"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/knee-brace-hinged.jpg,3500 KES,in_stock,EquinoxHealthSupplies
66,Range of Motion Knee Brace,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/rom-knee-brace.jpg,9000 KES,in_stock,EquinoxHealthSupplies
67,Paediatric Arm Sling,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/paediatric-arm-sling.jpg,1500 KES,in_stock,EquinoxHealthSupplies
68,Arm Sling,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/arm-sling.jpg,1600 KES,in_stock,EquinoxHealthSupplies
69,Shoulder Immobilizer,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/shoulder-immobilizer.jpg,3200 KES,in_stock,EquinoxHealthSupplies
70,Clavicle Brace,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/clavicle-brace.jpg,2200 KES,in_stock,EquinoxHealthSupplies
71,Compression Stocking,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/compression-stocking.jpg,3500 KES,in_stock,EquinoxHealthSupplies
72,Silicone Insoles (Pair),"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/silicone-insoles.jpg,2800 KES,in_stock,EquinoxHealthSupplies
73,Donut Cushion,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/donut-cushion.jpg,4200 KES,in_stock,EquinoxHealthSupplies
74,Dilator Set,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/dilator-set.jpg,4000 KES,in_stock,EquinoxHealthSupplies
75,Heel Spur Fix Insoles (Pair),"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/heel-spur-insoles.jpg,2200 KES,in_stock,EquinoxHealthSupplies
76,Heel Silicone Insoles (Pair),"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/heel-silicone-insoles.jpg,2000 KES,in_stock,EquinoxHealthSupplies
77,Adult Skin Traction Kit,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/adult-skin-traction-kit.jpg,1700 KES,in_stock,EquinoxHealthSupplies
78,Finger Strengthener Set,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/finger-strengthener.jpg,1500 KES,in_stock,EquinoxHealthSupplies
79,Kinesiology Tape,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/kinesiology-tape.jpg,1000 KES,in_stock,EquinoxHealthSupplies
80,Plaster Shear,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/plaster-shear.jpg,9500 KES,in_stock,EquinoxHealthSupplies
81,Wing Nut,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/wing-nut.jpg,3000 KES,in_stock,EquinoxHealthSupplies
82,Eye Pads (50s),"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/eye-pads.jpg,1500 KES,in_stock,EquinoxHealthSupplies
83,First Aid Kit Medium,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/first-aid-kit.jpg,3000 KES,in_stock,EquinoxHealthSupplies
84,Double Crank Hospital Bed,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/double-crank-bed.jpg,38000 KES,in_stock,EquinoxHealthSupplies
85,Single Crank Hospital Bed,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/single-crank-bed.jpg,28000 KES,in_stock,EquinoxHealthSupplies
86,3 Function Electric Bed,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/3-function-electric-bed.jpg,120000 KES,in_stock,EquinoxHealthSupplies
87,Ripple Mattress (Anti-Bedsore Air Mattress),"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/ripple-mattress.jpg,7500 KES,in_stock,EquinoxHealthSupplies
88,Delivery Bed,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/delivery-bed.jpg,32000 KES,in_stock,EquinoxHealthSupplies
89,Operating Table,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/operating-table.jpg,280000 KES,in_stock,EquinoxHealthSupplies
90,Emergency Trolley / Crash Cart,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/crash-cart.jpg,58000 KES,in_stock,EquinoxHealthSupplies
91,Theatre Light,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/theatre-light.jpg,350000 KES,in_stock,EquinoxHealthSupplies
92,Examination Lamp,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/examination-lamp.jpg,12500 KES,in_stock,EquinoxHealthSupplies
93,Urine Bottle,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/urine-bottle.jpg,1200 KES,in_stock,EquinoxHealthSupplies
94,Bed Pad,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/bed-pad.jpg,2200 KES,in_stock,EquinoxHealthSupplies
95,Reusable Patient Gown,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/patient-gown.jpg,1600 KES,in_stock,EquinoxHealthSupplies
96,Manual Height & Weight Weighing Scale,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/weighing-scale.jpg,9000 KES,in_stock,EquinoxHealthSupplies
97,4-Channel TENS Machine,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/tens-machine.jpg,7500 KES,in_stock,EquinoxHealthSupplies
98,18L Autoclave,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/autoclave.jpg,18500 KES,in_stock,EquinoxHealthSupplies
99,2 Channel Autoclave,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/2-channel-autoclave.jpg,8500 KES,in_stock,EquinoxHealthSupplies
100,Foot Massager,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/foot-massager.jpg,2200 KES,in_stock,EquinoxHealthSupplies
101,Massage Gun,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/massage-gun.jpg,2800 KES,in_stock,EquinoxHealthSupplies
102,Rehabilitation Hand Robot Glove,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/hand-glove.jpg,35000 KES,in_stock,EquinoxHealthSupplies
103,Spacer Mask,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/spacer-mask.jpg,1700 KES,in_stock,EquinoxHealthSupplies
104,Reusable Colostomy Bag,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/colostomy-bag.jpg,500 KES,in_stock,EquinoxHealthSupplies
105,Gastrostomy Tube (Size 24, 26, 28),"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/gastrostomy-tube.jpg,0 KES,in_stock,EquinoxHealthSupplies
107,Disposable Syringe,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/disposable-syringe.jpg,400 KES,in_stock,EquinoxHealthSupplies
108,Heavy Duty Nitrile Gloves,"High-quality medical equipment from Equinox Health Supplies, trusted supplier in Nairobi, Kenya. Ideal for clinical facilities and home care.",new,https://equinoxhealthsupplies.co.ke/catalog.html,https://equinoxhealthsupplies.co.ke/assets/images/nitrile-gloves.jpg,450 KES,in_stock,EquinoxHealthSupplies